FIP5,TITLE,GEOGRAPHY
13227,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13227,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13231,Pike County,County
13231,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13231,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13247,Rockdale County,County
13247,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13247,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13255,Spalding County,County
13255,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13255,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13297,Walton County,County
13297,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13297,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
34001,Atlantic County,County
34001,"Atlantic City-Hammonton, NJ",CBSA
34001,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",CSA
01053,Escambia County,County
01053,"Atmore, AL",CBSA
01053,"Pensacola-Ferry Pass, FL-AL",CSA
18033,DeKalb County,County
18033,"Auburn, IN",CBSA
18033,"Fort Wayne-Huntington-Auburn, IN",CSA
36011,Cayuga County,County
36011,"Auburn, NY",CBSA
36011,"Syracuse-Auburn, NY",CSA
01081,Lee County,County
01081,"Auburn-Opelika, AL",CBSA
01081,"Columbus-Auburn-Opelika, GA-AL",CSA
13033,Burke County,County
13033,"Augusta-Richmond County, GA-SC",CBSA
13073,Columbia County,County
13073,"Augusta-Richmond County, GA-SC",CBSA
13181,Lincoln County,County
13181,"Augusta-Richmond County, GA-SC",CBSA
13189,McDuffie County,County
13189,"Augusta-Richmond County, GA-SC",CBSA
13245,Richmond County,County
13245,"Augusta-Richmond County, GA-SC",CBSA
45003,Aiken County,County
45003,"Augusta-Richmond County, GA-SC",CBSA
45037,Edgefield County,County
45037,"Augusta-Richmond County, GA-SC",CBSA
23011,Kennebec County,County
23011,"Augusta-Waterville, ME",CBSA
27099,Mower County,County
27099,"Austin, MN",CBSA
27099,"Rochester-Austin, MN",CSA
48021,Bastrop County,County
48021,"Austin-Round Rock-Georgetown, TX",CBSA
48055,Caldwell County,County
48055,"Austin-Round Rock-Georgetown, TX",CBSA
48209,Hays County,County
48209,"Austin-Round Rock-Georgetown, TX",CBSA
48453,Travis County,County
48453,"Austin-Round Rock-Georgetown, TX",CBSA
48491,Williamson County,County
48491,"Austin-Round Rock-Georgetown, TX",CBSA
13087,Decatur County,County
13087,"Bainbridge, GA",CBSA
06029,Kern County,County
06029,"Bakersfield, CA",CBSA
24003,Anne Arundel County,County
24003,"Baltimore-Columbia-Towson, MD",CBSA
24003,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24005,Baltimore County,County
24005,"Baltimore-Columbia-Towson, MD",CBSA
24005,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24013,Carroll County,County
24013,"Baltimore-Columbia-Towson, MD",CBSA
24013,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24025,Harford County,County
24025,"Baltimore-Columbia-Towson, MD",CBSA
24025,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24027,Howard County,County
24027,"Baltimore-Columbia-Towson, MD",CBSA
24027,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24035,Queen Anne's County,County
24035,"Baltimore-Columbia-Towson, MD",CBSA
24035,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
24510,Baltimore city,County
24510,"Baltimore-Columbia-Towson, MD",CBSA
24510,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",CSA
23019,Penobscot County,County
23019,"Bangor, ME",CBSA
55111,Sauk County,County
55111,"Baraboo, WI",CBSA
55111,"Madison-Janesville-Beloit, WI",CSA
21179,Nelson County,County
21179,"Bardstown, KY",CBSA
21179,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",CSA
25001,Barnstable County,County
25001,"Barnstable Town, MA",CBSA
25001,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
50023,Washington County,County
50023,"Barre, VT",CBSA
50023,"Burlington-South Burlington-Barre, VT",CSA
40147,Washington County,County
40147,"Bartlesville, OK",CBSA
40147,"Tulsa-Muskogee-Bartlesville, OK",CSA
36037,Genesee County,County
36037,"Batavia, NY",CBSA
36037,"Rochester-Batavia-Seneca Falls, NY",CSA
05063,Independence County,County
05063,"Batesville, AR",CBSA
05135,Sharp County,County
05135,"Batesville, AR",CBSA
22005,Ascension Parish,County
22005,"Baton Rouge, LA",CBSA
22007,Assumption Parish,County
22007,"Baton Rouge, LA",CBSA
22033,East Baton Rouge Parish,County
22033,"Baton Rouge, LA",CBSA
22037,East Feliciana Parish,County
22037,"Baton Rouge, LA",CBSA
22047,Iberville Parish,County
